Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
CX_PRCG_Primary_motor_cortex_M1C,fibroblast,47,0.3056943,0.5934066
CX_PRCG_Primary_motor_cortex_M1C,leukocyte,10,0.114885114,0.3026973
CX_PRCG_Primary_motor_cortex_M1C,neuron,110246,0.57542455,0.8841159
CX_PRCG_Primary_motor_cortex_M1C,oligodendrocyte,3856,0.26773226,0.33266732
CX_PRCG_Primary_motor_cortex_M1C,oligodendrocyte precursor cell,550,0.5084915,0.21778221
CX_PRCG_Primary_motor_cortex_M1C,pericyte,33,0.051948052,0.2027972
CX_PRCG_Primary_motor_cortex_M1C,vascular associated smooth muscle cell,12,0.0959041,0.22277722
Cx_PRG,astrocyte,458,0.07692308,0.43956044
Cx_PRG,central nervous system macrophage,246,0.114885114,0.25274727
Cx_PRG,endothelial cell,10,0.02097902,0.6293706
Cx_PRG,fibroblast,33,0.10889111,0.2937063
Cx_PRG,leukocyte,4,0.026973028,0.55944055
Cx_PRG,neuron,21708,0.45554444,0.7372627
Cx_PRG,oligodendrocyte,877,0.14485514,0.7112887
Cx_PRG,oligodendrocyte precursor cell,389,0.5354645,0.4115884
Cx_PRG,pericyte,4,0.7842158,0.7922078
Cx_PRG,vascular associated smooth muscle cell,3,0.13386613,0.6883117
Cx_ReG,astrocyte,341,0.12487513,0.5354645
Cx_ReG,central nervous system macrophage,55,0.068931065,0.6233766
Cx_ReG,endothelial cell,3,0.15484515,0.66533464
Cx_ReG,fibroblast,11,0.37962037,0.066933066
Cx_ReG,leukocyte,2,0.11388611,0.000999001
Cx_ReG,neuron,13473,0.49050948,0.6593407
Cx_ReG,oligodendrocyte,262,0.4025974,0.9000999
Cx_ReG,oligodendrocyte precursor cell,202,0.53246754,0.5804196
Cx_ReG,pericyte,2,0.015984016,0.000999001
Cx_ReG,vascular associated smooth muscle cell,1,0.18381618,NA
Cx_RoG_Dorsal_division_MFC,astrocyte,978,0.14785215,0.056943055
Cx_RoG_Dorsal_division_MFC,central nervous system macrophage,254,0.06393606,0.17282717
Cx_RoG_Dorsal_division_MFC,endothelial cell,6,0.12687312,0.3216783
Cx_RoG_Dorsal_division_MFC,fibroblast,6,0.1918082,0.18381618
Cx_RoG_Dorsal_division_MFC,leukocyte,2,0.12987013,0.000999001
Cx_RoG_Dorsal_division_MFC,neuron,22757,0.5874126,0.6053946
